12:55:22.183 [ApplicationImpl pooled thread 102] INFO  com.browserstack.utils.Helpers - null
12:55:22.185 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:58:51.273 [ApplicationImpl pooled thread 113] INFO  c.b.l.BrowserStackRunExtension - testng
12:58:51.273 [ApplicationImpl pooled thread 113] INFO  com.browserstack.utils.Helpers - null
12:58:51.274 [ApplicationImpl pooled thread 113] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:59:02.832 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - testng
12:59:02.832 [ApplicationImpl pooled thread 112] INFO  com.browserstack.utils.Helpers - null
12:59:02.833 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:59:25.689 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - testng
12:59:25.689 [ApplicationImpl pooled thread 112] INFO  com.browserstack.utils.Helpers - null
12:59:25.700 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:01:54.090 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - testng
13:01:54.090 [ApplicationImpl pooled thread 112] INFO  com.browserstack.utils.Helpers - null
13:01:54.090 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:02:21.173 [ApplicationImpl pooled thread 119] INFO  c.b.l.BrowserStackRunExtension - testng
13:02:21.173 [ApplicationImpl pooled thread 119] INFO  com.browserstack.utils.Helpers - null
13:02:21.173 [ApplicationImpl pooled thread 119] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:02:47.754 [ApplicationImpl pooled thread 109] INFO  c.b.l.BrowserStackRunExtension - testng
13:02:47.755 [ApplicationImpl pooled thread 109] INFO  com.browserstack.utils.Helpers - null
13:02:47.757 [ApplicationImpl pooled thread 109] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:04:18.270 [ApplicationImpl pooled thread 109] INFO  c.b.l.BrowserStackRunExtension - testng
13:04:18.270 [ApplicationImpl pooled thread 109] INFO  com.browserstack.utils.Helpers - null
13:04:18.271 [ApplicationImpl pooled thread 109] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:04:44.795 [ApplicationImpl pooled thread 122] INFO  c.b.l.BrowserStackRunExtension - testng
13:04:44.795 [ApplicationImpl pooled thread 122] INFO  com.browserstack.utils.Helpers - null
13:04:44.796 [ApplicationImpl pooled thread 122] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:05:23.196 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - testng
13:05:23.196 [ApplicationImpl pooled thread 117] INFO  com.browserstack.utils.Helpers - null
13:05:23.197 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:11:37.479 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - testng
13:11:37.479 [ApplicationImpl pooled thread 120] INFO  com.browserstack.utils.Helpers - null
13:11:37.480 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
